,patterns,count
455,"(3, 2, -1, 3, 3, 2)",1
456,"(3, 1, -1, 3, 3, 2)",12
457,"(3, 2, -2, 3, 3, 1)",1
458,"(3, 2, -2, 2, 3, 2)",2
459,"(3, 2, -1, 3, 2, 1)",4
460,"(3, 2, -1, 3, 3, 3)",3
461,"(3, 1, -1, 3, 3, 1)",3
462,"(3, 3, -2, 2, 3, 1)",8
463,"(2, 1, -1, 3, 3, 1)",7
464,"(3, 2, -2, 2, 3, 1)",5
465,"(2, 1, -2, 2, 3, 1)",1
466,"(3, 3, -2, 2, 3, 2)",2
467,"(2, 1, -1, 3, 3, 2)",3
468,"(3, 3, -2, 3, 3, 1)",1
469,"(2, 2, -1, 3, 3, 1)",2
470,"(3, 2, -1, 3, 3, 1)",15
471,"(3, 1, -1, 3, 3, 3)",6
472,"(2, 2, -2, 3, 3, 1)",1
473,"(3, 3, -1, 3, 3, 1)",14
474,"(2, 2, -2, 2, 3, 1)",1
475,"(3, 2, -1, 3, 3, 2)",4
476,"(3, 1, -1, 3, 3, 2)",11
477,"(2, 1, -2, 2, 3, 1)",2
478,"(3, 2, -2, 2, 3, 2)",2
479,"(3, 2, -1, 3, 2, 1)",3
480,"(3, 2, -1, 3, 3, 3)",2
481,"(3, 1, -1, 3, 3, 1)",1
482,"(3, 3, -2, 2, 3, 1)",6
483,"(2, 1, -1, 3, 3, 1)",12
484,"(3, 2, -2, 2, 3, 1)",3
485,"(3, 1, -2, 3, 3, 2)",1
486,"(2, 1, -1, 3, 3, 2)",3
487,"(3, 3, -2, 3, 3, 1)",2
488,"(3, 2, -1, 3, 3, 1)",17
489,"(3, 1, -1, 3, 3, 3)",7
490,"(2, 2, -1, 3, 3, 1)",7
491,"(3, 1, -1, 3, 2, 1)",1
492,"(3, 3, -1, 3, 3, 1)",9
493,"(2, 2, -2, 2, 3, 1)",3
494,"(3, 2, -1, 3, 3, 2)",3
495,"(3, 1, -1, 3, 3, 2)",14
496,"(2, 1, -2, 2, 3, 1)",1
497,"(3, 2, -2, 2, 3, 2)",4
498,"(3, 2, -1, 3, 2, 1)",4
499,"(3, 2, -1, 3, 3, 3)",1
500,"(3, 1, -1, 3, 3, 1)",1
501,"(3, 3, -2, 2, 3, 1)",12
502,"(2, 1, -1, 3, 3, 1)",12
503,"(3, 2, -2, 2, 3, 1)",5
504,"(3, 3, -2, 2, 3, 2)",2
505,"(2, 1, -1, 3, 3, 2)",4
506,"(3, 3, -2, 3, 3, 1)",1
507,"(3, 2, -1, 3, 3, 1)",8
508,"(3, 1, -1, 3, 3, 3)",3
509,"(2, 2, -1, 3, 3, 1)",7
510,"(3, 1, -1, 3, 2, 1)",1
511,"(3, 3, -1, 3, 3, 1)",9
512,"(2, 2, -2, 2, 3, 1)",3
513,"(3, 2, -1, 3, 3, 2)",3
514,"(3, 1, -1, 3, 3, 2)",9
515,"(3, 1, -1, 3, 2, 2)",2
516,"(3, 2, -2, 2, 3, 2)",3
517,"(3, 2, -1, 3, 2, 1)",6
518,"(3, 2, -1, 3, 3, 3)",1
519,"(3, 1, -1, 3, 3, 1)",1
520,"(3, 3, -2, 2, 3, 1)",5
521,"(2, 1, -2, 2, 3, 2)",1
522,"(2, 1, -1, 3, 3, 1)",14
523,"(3, 2, -2, 2, 3, 1)",4
524,"(2, 1, -1, 3, 3, 2)",8
525,"(3, 3, -2, 3, 3, 1)",3
526,"(3, 2, -2, 3, 3, 2)",1
527,"(2, 2, -1, 3, 3, 1)",3
528,"(3, 2, -1, 3, 3, 1)",10
529,"(3, 1, -1, 3, 3, 3)",4
530,"(2, 2, -2, 3, 3, 1)",1
531,"(3, 3, -1, 3, 3, 1)",15
532,"(2, 2, -2, 2, 3, 1)",2
533,"(3, 2, -2, 3, 3, 2)",2
534,"(3, 1, -1, 3, 3, 2)",8
535,"(3, 2, -2, 2, 3, 2)",4
536,"(3, 2, -1, 3, 2, 1)",6
537,"(3, 2, -1, 3, 3, 3)",2
538,"(3, 1, -1, 3, 3, 1)",4
539,"(3, 3, -2, 2, 3, 1)",3
540,"(2, 2, -2, 2, 3, 2)",1
541,"(2, 1, -1, 3, 3, 1)",14
542,"(3, 2, -2, 2, 3, 1)",2
543,"(2, 1, -1, 3, 3, 2)",1
544,"(3, 3, -2, 3, 3, 1)",2
545,"(3, 2, -1, 3, 3, 2)",5
546,"(3, 2, -1, 3, 3, 1)",12
547,"(3, 1, -1, 3, 3, 3)",6
548,"(2, 2, -1, 3, 3, 1)",5
549,"(3, 1, -1, 3, 2, 1)",1
550,"(3, 3, -1, 3, 3, 1)",14
551,"(2, 2, -2, 2, 3, 1)",3
552,"(3, 2, -1, 3, 3, 2)",10
553,"(3, 1, -1, 3, 3, 2)",6
554,"(2, 1, -2, 2, 3, 1)",1
555,"(3, 1, -1, 3, 2, 2)",2
